Filename,GPS Event,GPS Time,Weeks:Seconds,Longitude,Latitude,Altitude,Pitch,Roll,Yaw,Yaw Type,ISO,Aperture,Shutter Speed 1/#
21-45-06.798_RGB_24351_27768.IIQ,1,21:45:06.798473,2073:78306.798474,-127.20931,51.599243,2865.870 m,0.93000,0.68000,83.37000,T,50,5.6,1000
21-45-11.800_RGB_24352_27769.IIQ,2,21:45:11.800294,2073:78311.800294,-127.205423,51.59913,2870.179 m,0.71000,0.56000,84.05000,T,400,5.6,1000
21-45-16.796_RGB_24353_27770.IIQ,3,21:45:16.796111,2073:78316.796112,-127.201543,51.599024,2874.230 m,0.57000,-0.14000,83.35000,T,400,5.6,1000
21-45-21.796_RGB_24354_27771.IIQ,4,21:45:21.796931,2073:78321.796932,-127.19764,51.598933,2876.690 m,0.14000,1.31000,83.77000,T,400,5.6,1000
21-45-26.796_RGB_24355_27772.IIQ,5,21:45:26.796751,2073:78326.796751,-127.193685,51.598816,2878.160 m,-0.30000,1.11000,84.62000,T,400,5.6,1000
21-45-31.796_RGB_24356_27773.IIQ,6,21:45:31.796568,2073:78331.796568,-127.189654,51.598681,2877.150 m,-0.71000,0.39000,85.26000,T,400,5.6,1000
21-45-36.796_RGB_24357_27774.IIQ,7,21:45:36.79639,2073:78336.79639,-127.18553,51.598544,2874.369 m,-0.77000,0.03000,85.29000,T,400,5.6,1000
21-45-41.797_RGB_24358_27775.IIQ,8,21:45:41.797206,2073:78341.797206,-127.181312,51.598414,2870.120 m,-0.91000,0.55000,85.62000,T,400,5.6,1000
21-45-46.796_RGB_24359_27776.IIQ,9,21:45:46.796025,2073:78346.796025,-127.177003,51.598288,2864.739 m,-0.65000,-0.62000,85.25000,T,400,5.6,1000
21-45-51.796_RGB_24360_27777.IIQ,10,21:45:51.796843,2073:78351.796844,-127.172629,51.598206,2861.069 m,-0.22000,-0.52000,84.37000,T,320,5.6,1000
21-45-56.796_RGB_24361_27778.IIQ,11,21:45:56.796663,2073:78356.796663,-127.168218,51.598164,2857.300 m,0.06000,-0.64000,83.83000,T,320,5.6,1000
21-46-01.796_RGB_24362_27779.IIQ,12,21:46:01.79648,2073:78361.796481,-127.163786,51.598152,2852.800 m,0.40000,0.05000,83.78000,T,320,5.6,1000
21-46-06.796_RGB_24363_27780.IIQ,13,21:46:06.796302,2073:78366.796302,-127.159354,51.598144,2850.630 m,0.79000,1.27000,83.70000,T,320,5.6,1000
21-46-11.797_RGB_24364_27781.IIQ,14,21:46:11.797122,2073:78371.797122,-127.154945,51.598106,2849.360 m,0.71000,1.36000,84.61000,T,320,5.6,1000
21-46-16.796_RGB_24365_27782.IIQ,15,21:46:16.796939,2073:78376.796939,-127.150564,51.598011,2848.530 m,0.89000,1.97000,85.57000,T,320,5.6,1000
21-46-21.796_RGB_24366_27783.IIQ,16,21:46:21.796759,2073:78381.796759,-127.146218,51.597873,2847.589 m,1.12000,0.13000,86.14000,T,320,5.6,1000
