Filename,GPS Event,GPS Time,Weeks:Seconds,Line Number,Number in Line,Longitude,Latitude,Altitude,Pitch,Roll,Yaw,Yaw Type,ISO,Aperture,Shutter Speed 1/#
1_RGB_110531.IIQ,1,14:58:47.403132,2120:53927.403132,XXXX,XXXX,-125.263339,49.946595,77.379 m,0.63000,-0.88000,217.99001,T,640,4.5,1000
2_RGB_110532.IIQ,2,14:58:51.444325,2120:53931.444325,XXXX,XXXX,-125.263507,49.946444,77.539 m,0.54000,-0.45000,211.96001,T,640,4.5,1000
3_RGB_110533.IIQ,3,15:56:07.349481,2120:57367.349481,XXXX,XXXX,-128.075649,51.636869,1115.530 m,3.39000,-0.67000,308.45001,T,640,4.5,1000
4_RGB_110534.IIQ,4,15:56:10.983992,2120:57370.983992,XXXX,XXXX,-128.078409,51.638186,1114.950 m,2.46000,-0.74000,308.09000,T,640,4.5,1000
5_RGB_110535.IIQ,5,15:56:14.627181,2120:57374.627181,XXXX,XXXX,-128.081196,51.639501,1110.640 m,1.61000,-0.86000,307.75000,T,640,4.5,1000
6_RGB_110536.IIQ,6,15:56:18.199026,2120:57378.199026,XXXX,XXXX,-128.083968,51.640793,1103.519 m,1.09000,-0.82000,307.38000,T,640,4.5,1000
7_RGB_110537.IIQ,7,15:56:21.740881,2120:57381.740881,XXXX,XXXX,-128.086763,51.642082,1095.290 m,1.10000,-0.35000,307.13000,T,640,4.5,1000
8_RGB_110538.IIQ,8,15:56:25.25074,2120:57385.25074,XXXX,XXXX,-128.089568,51.64337,1089.150 m,2.14000,0.05000,306.94000,T,640,4.5,1000
9_RGB_110539.IIQ,9,15:56:28.750597,2120:57388.750597,XXXX,XXXX,-128.092372,51.644656,1088.490 m,3.81000,-0.03000,307.01999,T,640,4.5,1000
10_RGB_110540.IIQ,10,15:56:32.274451,2120:57392.274451,XXXX,XXXX,-128.095157,51.645941,1094.310 m,5.07000,1.00000,307.89999,T,640,4.5,1000
11_RGB_110541.IIQ,11,15:56:35.879868,2120:57395.879868,XXXX,XXXX,-128.097923,51.647246,1103.830 m,5.68000,1.36000,308.57001,T,640,4.5,1000
12_RGB_110542.IIQ,12,15:56:39.573154,2120:57399.573154,XXXX,XXXX,-128.100663,51.648573,1113.070 m,5.19000,0.60000,309.23999,T,640,4.5,1000
13_RGB_110543.IIQ,13,15:56:43.341999,2120:57403.341999,XXXX,XXXX,-128.103395,51.649918,1118.370 m,4.05000,-0.11000,309.47000,T,640,4.5,1000
14_RGB_110544.IIQ,14,15:56:47.109847,2120:57407.109847,XXXX,XXXX,-128.106108,51.651259,1118.340 m,3.07000,0.07000,309.32999,T,640,4.5,1000
15_RGB_110545.IIQ,15,15:56:50.873692,2120:57410.873692,XXXX,XXXX,-128.108833,51.652604,1114.920 m,2.50000,-0.58000,309.12000,T,640,4.5,1000
16_RGB_110546.IIQ,16,15:56:54.604019,2120:57414.604019,XXXX,XXXX,-128.111579,51.653933,1110.150 m,2.66000,-0.10000,308.79999,T,640,4.5,1000
17_RGB_110547.IIQ,17,15:56:58.31385,2120:57418.31385,XXXX,XXXX,-128.114328,51.655264,1106.890 m,3.14000,-0.40000,309.38000,T,640,4.5,1000
18_RGB_110548.IIQ,18,15:57:02.002231,2120:57422.002231,XXXX,XXXX,-128.117066,51.65659,1105.960 m,3.41000,-0.80000,308.64999,T,640,4.5,1000
19_RGB_110549.IIQ,19,15:57:05.715079,2120:57425.715079,XXXX,XXXX,-128.119838,51.657909,1105.710 m,3.48000,-0.60000,308.39001,T,640,4.5,1000
20_RGB_110550.IIQ,20,15:57:09.411926,2120:57429.411926,XXXX,XXXX,-128.122592,51.659221,1105.279 m,3.31000,1.78000,309.25000,T,640,4.5,1000
21_RGB_110551.IIQ,21,15:57:13.122777,2120:57433.122777,XXXX,XXXX,-128.125331,51.660558,1104.220 m,3.19000,-1.04000,308.84000,T,640,4.5,1000
22_RGB_110552.IIQ,22,15:57:16.822623,2120:57436.822623,XXXX,XXXX,-128.128108,51.661862,1101.890 m,2.50000,-2.70000,307.20999,T,640,4.5,1000
23_RGB_110553.IIQ,23,15:57:20.495848,2120:57440.495848,XXXX,XXXX,-128.130934,51.663123,1097.160 m,1.99000,-0.86000,306.32999,T,640,4.5,1000
24_RGB_110554.IIQ,24,15:57:24.150681,2120:57444.150681,XXXX,XXXX,-128.133786,51.664381,1091.360 m,1.87000,5.25000,307.32999,T,640,4.5,1000
25_RGB_110555.IIQ,25,15:57:27.757171,2120:57447.757171,XXXX,XXXX,-128.136546,51.665699,1087.570 m,3.44000,1.77000,309.94000,T,640,4.5,1000
26_RGB_110556.IIQ,26,15:57:31.369022,2120:57451.369022,XXXX,XXXX,-128.139246,51.667056,1090.509 m,4.98000,-1.11000,310.10999,T,640,4.5,1000
27_RGB_110557.IIQ,27,15:57:35.041866,2120:57455.041866,XXXX,XXXX,-128.141984,51.668388,1097.549 m,5.21000,-0.54000,308.39001,T,640,4.5,1000
28_RGB_110558.IIQ,28,15:57:38.77902,2120:57458.77902,XXXX,XXXX,-128.144763,51.669688,1103.970 m,4.77000,-1.71000,307.64999,T,640,4.5,1000
29_RGB_110559.IIQ,29,15:57:42.558846,2120:57462.558846,XXXX,XXXX,-128.14758,51.670956,1107.230 m,4.14000,0.16000,306.10001,T,640,4.5,1000
30_RGB_110560.IIQ,30,15:57:46.346399,2120:57466.346399,XXXX,XXXX,-128.150378,51.672229,1108.600 m,4.11000,-0.25000,308.20001,T,640,4.5,1000
31_RGB_110561.IIQ,31,15:57:50.170237,2120:57470.170237,XXXX,XXXX,-128.153161,51.673532,1110.539 m,4.31000,-0.71000,307.45001,T,640,4.5,1000
32_RGB_110562.IIQ,32,15:57:54.003081,2120:57474.003081,XXXX,XXXX,-128.155945,51.674824,1112.230 m,4.15000,-0.68000,307.07001,T,640,4.5,1000
33_RGB_110563.IIQ,33,15:57:57.860923,2120:57477.860923,XXXX,XXXX,-128.158748,51.676113,1112.460 m,3.78000,0.83000,307.76001,T,640,4.5,1000
34_RGB_110564.IIQ,34,15:58:01.701982,2120:57481.701982,XXXX,XXXX,-128.16152,51.677413,1111.029 m,3.51000,1.06000,308.35999,T,640,4.5,1000
35_RGB_110565.IIQ,35,15:58:05.544805,2120:57485.544805,XXXX,XXXX,-128.164272,51.678742,1108.710 m,3.29000,1.04000,309.45999,T,640,4.5,1000
36_RGB_110566.IIQ,36,15:58:09.365636,2120:57489.365636,XXXX,XXXX,-128.166988,51.680095,1106.029 m,3.27000,-0.05000,309.72000,T,640,4.5,1000
37_RGB_110567.IIQ,37,16:02:49.776894,2120:57769.776894,XXXX,XXXX,-128.181014,51.65268,1047.410 m,1.93000,-1.50000,35.70000,T,640,4.5,1000
38_RGB_110568.IIQ,38,16:02:53.506806,2120:57773.506806,XXXX,XXXX,-128.179018,51.654443,1040.620 m,2.24000,2.56000,35.83000,T,640,4.5,1000
39_RGB_110569.IIQ,39,16:02:57.226588,2120:57777.226588,XXXX,XXXX,-128.176946,51.656195,1036.830 m,3.31000,0.63000,37.67000,T,640,4.5,1000
