CIR_Filename,Easting,Northing,Altitude,Omega,Phi,Kappa
1_RGB_110531_rgbi.tif,768061.401,5539386.465,92.310,-0.01260,1.05648,54.76819
2_RGB_110532_rgbi.tif,768050.247,5539369.182,92.484,-0.25425,0.64386,60.80697
3_RGB_110533_rgbi.tif,563970.662,5721054.842,1130.368,2.60042,2.28477,-37.79465
4_RGB_110534_rgbi.tif,563777.878,5721198.907,1129.786,2.07692,1.51608,-37.41443
5_RGB_110535_rgbi.tif,563583.133,5721342.710,1125.479,1.65252,0.78124,-37.05011
6_RGB_110536_rgbi.tif,563389.528,5721484.000,1118.356,1.30680,0.39834,-36.67193
7_RGB_110537_rgbi.tif,563194.344,5721624.923,1110.133,0.92713,0.69500,-36.41808
8_RGB_110538_rgbi.tif,562998.473,5721765.711,1104.006,1.22540,1.77088,-36.24428
9_RGB_110539_rgbi.tif,562802.742,5721906.329,1103.370,2.27741,3.06293,-36.37361
10_RGB_110540_rgbi.tif,562608.270,5722046.841,1109.203,2.26644,4.65675,-37.24088
11_RGB_110541_rgbi.tif,562415.109,5722189.672,1118.759,2.41367,5.33870,-37.91073
12_RGB_110542_rgbi.tif,562223.759,5722334.911,1128.039,2.76930,4.44288,-38.62051
13_RGB_110543_rgbi.tif,562032.925,5722482.177,1133.360,2.62152,3.09708,-38.84441
14_RGB_110544_rgbi.tif,561843.353,5722629.019,1133.343,1.85699,2.45863,-38.66596
15_RGB_110545_rgbi.tif,561653.003,5722776.272,1129.913,2.66103,1.08772,-38.48064
16_RGB_110546_rgbi.tif,561461.264,5722921.748,1125.150,1.71858,2.04281,-38.13478
17_RGB_110547_rgbi.tif,561269.309,5723067.503,1121.884,2.27695,2.21380,-38.73788
18_RGB_110548_rgbi.tif,561078.058,5723212.630,1120.958,2.73495,2.21005,-38.03595
19_RGB_110549_rgbi.tif,560884.556,5723356.983,1120.702,2.60777,2.39991,-37.77402
20_RGB_110550_rgbi.tif,560692.243,5723500.596,1120.272,0.66858,3.70948,-38.53585
21_RGB_110551_rgbi.tif,560501.004,5723647.014,1119.207,4.29998,0.68801,-38.25986
22_RGB_110552_rgbi.tif,560307.233,5723789.707,1116.870,4.13840,0.06024,-36.59718
23_RGB_110553_rgbi.tif,560110.035,5723927.599,1112.154,2.08767,0.95858,-35.68305
24_RGB_110554_rgbi.tif,559911.075,5724065.169,1106.348,-3.10487,4.64406,-36.43636
25_RGB_110555_rgbi.tif,559718.504,5724209.508,1102.573,0.80308,3.79939,-39.23529
26_RGB_110556_rgbi.tif,559529.992,5724358.285,1105.529,5.39562,2.01246,-39.65854
27_RGB_110557_rgbi.tif,559338.859,5724504.126,1112.575,4.35018,3.23097,-37.90767
28_RGB_110558_rgbi.tif,559145.012,5724646.462,1118.985,4.69729,2.44001,-37.17659
29_RGB_110559_rgbi.tif,558948.507,5724785.194,1122.252,2.26527,3.47749,-35.49537
30_RGB_110560_rgbi.tif,558753.445,5724924.483,1123.619,2.70637,3.11672,-37.62004
31_RGB_110561_rgbi.tif,558559.323,5725067.189,1125.565,3.14990,3.03347,-36.89300
32_RGB_110562_rgbi.tif,558365.137,5725208.679,1127.264,3.52568,2.56170,-36.53380
33_RGB_110563_rgbi.tif,558169.640,5725349.764,1127.483,1.62118,3.52565,-37.12616
34_RGB_110564_rgbi.tif,557976.313,5725492.155,1126.057,1.29979,3.43818,-37.71419
35_RGB_110565_rgbi.tif,557784.373,5725637.817,1123.735,1.24672,3.22693,-38.80985
36_RGB_110566_rgbi.tif,557594.877,5725786.140,1121.050,2.10006,2.51876,-39.11623
37_RGB_110567_rgbi.tif,556659.563,5722726.075,1062.098,0.14147,-3.15083,-125.06945
38_RGB_110568_rgbi.tif,556795.450,5722923.691,1055.312,3.30756,0.81575,-125.12677
39_RGB_110569_rgbi.tif,556936.622,5723120.191,1051.517,3.02751,-1.48955,-126.94097
40_RGB_110570_rgbi.tif,557079.403,5723313.856,1052.811,2.34110,-4.47412,-126.53662
41_RGB_110571_rgbi.tif,557219.529,5723509.483,1057.089,3.11503,-3.58697,-125.35331
42_RGB_110572_rgbi.tif,557357.483,5723705.836,1060.306,4.07854,-1.44607,-125.49548
43_RGB_110573_rgbi.tif,557498.145,5723901.414,1061.103,2.61033,-2.50648,-126.36418
44_RGB_110574_rgbi.tif,557638.937,5724096.750,1059.449,1.78073,-3.03803,-125.51260
45_RGB_110575_rgbi.tif,557777.508,5724293.170,1056.835,2.32795,-2.25314,-125.16610
46_RGB_110576_rgbi.tif,557915.183,5724490.389,1054.897,2.81429,-1.98531,-124.46645
47_RGB_110577_rgbi.tif,558052.408,5724687.301,1054.657,3.04445,-2.49532,-125.15552
48_RGB_110578_rgbi.tif,558190.475,5724884.661,1056.165,3.87896,-1.92154,-124.95595
49_RGB_110579_rgbi.tif,558329.936,5725080.916,1058.676,4.39555,-1.17226,-125.97797
50_RGB_110580_rgbi.tif,558472.253,5725275.197,1061.068,2.82360,-3.31534,-126.43180
51_RGB_110581_rgbi.tif,558613.663,5725470.104,1062.367,2.94432,-2.94784,-125.78342
52_RGB_110582_rgbi.tif,558754.712,5725664.636,1062.870,2.41604,-3.14719,-126.23958
53_RGB_110583_rgbi.tif,558895.250,5725861.333,1061.772,1.16574,-4.30518,-124.86254
54_RGB_110584_rgbi.tif,559031.501,5726058.618,1059.349,3.59185,-0.37413,-125.17480
55_RGB_110585_rgbi.tif,559172.078,5726253.727,1056.614,3.66958,-0.19135,-127.35030
56_RGB_110586_rgbi.tif,559317.936,5726445.727,1054.172,2.94287,-1.77317,-128.41686
57_RGB_110587_rgbi.tif,559463.257,5726637.034,1053.620,2.86821,-2.65981,-126.92758
58_RGB_110588_rgbi.tif,559607.690,5726829.925,1055.009,2.91362,-3.25447,-127.46650
59_RGB_110589_rgbi.tif,559749.934,5727022.345,1057.785,2.38624,-4.75869,-126.19433
60_RGB_110590_rgbi.tif,559890.562,5727219.254,1061.679,4.48944,-1.94252,-125.71881
61_RGB_110591_rgbi.tif,560031.462,5727413.106,1065.247,2.16273,-4.32454,-126.78098
62_RGB_110592_rgbi.tif,560171.306,5727609.981,1065.286,1.80804,-3.32457,-125.15357
63_RGB_110593_rgbi.tif,560306.900,5727807.673,1061.429,2.76064,-0.66584,-124.98574
64_RGB_110594_rgbi.tif,560444.393,5728005.911,1055.322,1.78653,-1.57740,-125.89550
65_RGB_110595_rgbi.tif,560581.725,5728203.505,1049.484,1.66025,-2.01158,-125.56777
66_RGB_110596_rgbi.tif,560718.765,5728401.775,1045.486,2.48319,-1.74593,-125.68631
67_RGB_110597_rgbi.tif,560856.374,5728598.495,1044.467,3.84452,-0.90816,-126.36133
68_RGB_110598_rgbi.tif,560998.047,5728794.068,1045.981,3.54155,-2.31262,-127.38765
69_RGB_110599_rgbi.tif,561139.543,5728987.143,1049.588,2.15849,-4.92283,-126.60415
70_RGB_110600_rgbi.tif,562071.312,5729179.462,1111.187,-4.32995,3.26051,55.06011
71_RGB_110601_rgbi.tif,561935.994,5728980.938,1114.206,-5.14772,2.41742,55.04405
72_RGB_110602_rgbi.tif,561799.727,5728783.214,1117.864,-4.30776,3.60078,54.49662
73_RGB_110603_rgbi.tif,561663.310,5728585.043,1121.159,-4.84328,2.53257,54.83835
74_RGB_110604_rgbi.tif,561525.110,5728387.986,1123.860,-5.34315,1.46249,53.25931
75_RGB_110605_rgbi.tif,561382.152,5728193.943,1126.128,-4.42922,2.60911,51.84916
76_RGB_110606_rgbi.tif,561237.736,5728001.956,1128.767,-3.70896,3.82408,51.98326
77_RGB_110607_rgbi.tif,561093.678,5727809.084,1131.640,-4.73036,2.60812,52.07000
78_RGB_110608_rgbi.tif,560948.560,5727617.132,1134.458,-2.93426,4.92330,51.90527
79_RGB_110609_rgbi.tif,560806.035,5727423.146,1137.057,-4.01244,3.45039,52.93851
80_RGB_110610_rgbi.tif,560664.814,5727229.265,1139.491,-3.42257,3.94345,52.33906
81_RGB_110611_rgbi.tif,560522.905,5727032.763,1141.552,-2.98716,4.26130,53.10967
82_RGB_110612_rgbi.tif,560384.326,5726836.796,1143.402,-4.89817,1.44822,52.82462
83_RGB_110613_rgbi.tif,560242.637,5726642.180,1144.822,-3.48253,3.33251,52.11399
84_RGB_110614_rgbi.tif,560101.505,5726447.704,1146.211,-2.22223,3.91233,52.84254
85_RGB_110615_rgbi.tif,559963.104,5726250.833,1144.653,-2.10843,2.25861,53.41718
86_RGB_110616_rgbi.tif,559825.533,5726053.465,1139.571,-2.30851,0.74917,53.41157
87_RGB_110617_rgbi.tif,559685.514,5725856.374,1133.815,-3.01901,-0.15956,52.39430
88_RGB_110618_rgbi.tif,559542.717,5725663.011,1129.383,-1.30966,3.32204,51.59466
89_RGB_110619_rgbi.tif,559400.941,5725469.218,1129.120,-3.41011,2.43694,52.55070
90_RGB_110620_rgbi.tif,559259.104,5725274.878,1133.803,-3.29675,4.49544,52.49053
91_RGB_110621_rgbi.tif,559118.045,5725078.999,1142.427,-4.79968,3.72752,53.09902
92_RGB_110622_rgbi.tif,558978.377,5724884.357,1152.441,-5.21429,3.43922,53.05168
93_RGB_110623_rgbi.tif,558837.190,5724689.786,1161.520,-4.26716,3.87610,52.21135
94_RGB_110624_rgbi.tif,558695.612,5724495.001,1166.598,-2.70346,2.33018,52.46145
